Company,Random_Forest,Random_Forest_GridSearch,Random_Forest_RanomizedSearch
Aramco,82.8125,82.8125,83.59375
SARCO,84.93975903614458,84.93975903614458,84.33734939759037
Rabigh,85.94377510040161,86.14457831325302,86.34538152610442
Bahri,85.54216867469879,85.94377510040161,85.54216867469879
Aldrees,90.96385542168674,90.96385542168674,89.95983935742971
