Company,XGBoost,XGBoost_GridSearch,XGBoost_RanomizedSearch
Aramco,82.03125,80.46875,82.8125
SARCO,83.93574297188755,84.73895582329317,84.93975903614458
Rabigh,83.93574297188755,86.54618473895582,86.34538152610442
Bahri,85.34136546184739,85.94377510040161,86.54618473895582
Aldrees,89.5582329317269,90.76305220883533,91.36546184738957
