Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Aug 18, 2022",4200,71.20,72.50,72.70,71.20,222.53K,-1.39%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 17, 2022",4200,72.20,71.60,72.70,71.50,434.74K,0.84%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 16, 2022",4200,71.60,72.00,72.10,71.20,118.97K,0.00%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 15, 2022",4200,71.60,71.20,72.00,70.60,177.04K,0.56%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 14, 2022",4200,71.20,73.00,73.80,70.30,227.10K,-2.06%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 11, 2022",4200,72.70,72.90,73.00,72.50,109.96K,0.41%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 10, 2022",4200,72.40,72.20,73.20,72.10,206.91K,0.28%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 09, 2022",4200,72.20,73.90,74.00,72.00,188.61K,-2.43%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 08, 2022",4200,74.00,74.90,74.90,73.60,187.12K,-1.33%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 07, 2022",4200,75.00,75.30,75.80,74.90,52.99K,-0.40%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 04, 2022",4200,75.30,74.90,75.40,74.50,111.23K,0.27%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 03, 2022",4200,75.10,75.10,76.20,74.00,146.65K,0.13%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 02, 2022",4200,75.00,76.00,76.20,74.50,139.43K,-1.32%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Aug 01, 2022",4200,76.00,75.40,76.60,75.30,184.92K,1.33%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Jul 31, 2022",4200,75.00,73.00,75.50,72.80,253.89K,4.02%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Jul 28, 2022",4200,72.10,71.50,72.50,71.20,85.88K,1.12%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
"Jul 27, 2022",4200,71.30,71.90,72.80,71.20,131.96K,-0.28%,Energy,Aldrees,"Oil, Gas & Consumable Fuels"
