Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Dec 30, 2021",2222,32.55,32.00,32.55,31.95,7.34M,1.70%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 29, 2021",2222,32.00,32.27,32.32,31.95,2.87M,-1.12%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 28, 2021",2222,32.36,32.27,32.36,32.23,3.02M,0.56%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 27, 2021",2222,32.18,32.27,32.27,32.14,2.31M,-0.28%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 26, 2021",2222,32.27,32.36,32.45,32.27,1.45M,-0.56%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 23, 2021",2222,32.45,32.14,32.45,32.14,3.03M,0.85%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 22, 2021",2222,32.18,32.18,32.41,32.14,3.30M,-0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 21, 2021",2222,32.23,32.00,32.23,31.91,4.77M,0.57%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 20, 2021",2222,32.05,31.86,32.05,31.73,4.65M,0.57%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 19, 2021",2222,31.86,31.95,32.00,31.82,2.67M,-0.57%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 16, 2021",2222,32.05,31.86,32.09,31.86,8.85M,0.28%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 15, 2021",2222,31.95,31.77,31.95,31.68,4.29M,0.43%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 14, 2021",2222,31.82,31.68,31.82,31.59,3.27M,0.43%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 13, 2021",2222,31.68,31.64,31.82,31.59,5.27M,0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 12, 2021",2222,31.64,31.64,31.68,31.41,4.44M,0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 09, 2021",2222,31.59,31.91,31.95,31.50,11.28M,-0.86%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 08, 2021",2222,31.86,31.86,32.05,31.82,5.44M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 07, 2021",2222,31.86,32.09,32.09,31.86,3.89M,0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 06, 2021",2222,31.82,32.05,32.14,31.82,5.06M,-0.57%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 05, 2021",2222,32.00,31.82,32.09,31.82,3.78M,0.72%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 02, 2021",2222,31.77,31.77,31.86,31.59,5.82M,-0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Dec 01, 2021",2222,31.82,31.59,31.82,31.55,4.81M,1.01%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 30, 2021",2222,31.50,31.73,31.77,31.50,12.09M,-0.72%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 29, 2021",2222,31.73,31.77,31.95,31.73,6.39M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 28, 2021",2222,31.73,31.82,31.82,31.59,7.71M,-1.97%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
