Company,SVC,SVC_GridSearch,SVC_RanomizedSearch
Aramco,82.8125,80.46875,82.8125
SARCO,84.53815261044177,84.53815261044177,83.93574297188755
Rabigh,86.54618473895582,86.14457831325302,86.54618473895582
Bahri,86.14457831325302,85.34136546184739,86.14457831325302
Aldrees,90.16064257028113,87.95180722891565,90.56224899598394
